time,ac_x,ac_x_f,ac_y,ac_y_f,
8.938,-1.5,-1.5724059343338013,5.260000228881836,4.89409065246582,
8.948,-0.27000001072883606,-0.6607217788696289,4.539999961853027,4.6462273597717285,
8.958,-1.0700000524520874,-0.9472165107727051,4.739999771118164,4.7118682861328125,
8.968,0.15000000596046448,-0.17916496098041534,4.210000038146973,4.360560417175293,
8.978,0.07999999821186066,0.0022505084052681923,4.670000076293945,4.577167987823486,
8.988,0.5400000214576721,0.3786751329898834,4.840000152587891,4.761150360107422,
8.998,0.23999999463558197,0.28160253167152405,6.079999923706055,5.684345245361328,
9.008,1.3600000143051147,1.0364807844161987,5.699999809265137,5.695303440093994,
9.018,0.15000000596046448,0.41594424843788147,6.389999866485596,6.181591033935547,
9.028,1.0700000524520874,0.8737832903862,6.28000020980835,6.250477313995361,
9.038,-1.1699999570846558,-0.5568649768829346,4.429999828338623,4.9761433601379395,
9.048,0.17000000178813934,-0.04805949702858925,2.869999885559082,3.501842975616455,
9.058,-0.4300000071525574,-0.3154178559780121,2.8399999141693115,3.03855299949646,
9.068,-0.4300000071525574,-0.39562535285949707,2.8399999141693115,2.8995659351348877,
9.078,0.5099999904632568,0.23831239342689514,3.799999952316284,3.529869794845581,
9.088,2.4700000286102295,1.8004937171936035,4.809999942779541,4.425961017608643,
9.098,2.119999885559082,2.0241482257843018,4.340000152587891,4.365788459777832,
9.108,2.5,2.3572444915771484,5.079999923706055,4.865736484527588,
9.118,2.5,2.4571733474731445,5.079999923706055,5.015720844268799,
9.128,3.319999933242798,3.0611519813537598,4.900000095367432,4.93471622467041,
9.138,1.4800000190734863,1.9543455839157104,2.5999999046325684,3.300414800643921,
9.148,1.100000023841858,1.3563036918640137,2.630000114440918,2.8311245441436768,
9.158,2.130000114440918,1.8978911638259888,3.559999942779541,3.3413374423980713,
9.168,2.130000114440918,2.0603673458099365,3.559999942779541,3.494401216506958,
9.178,3.4200000762939453,3.0121102333068848,4.420000076293945,4.142320156097412,
9.188,3.3299999237060547,3.234632968902588,3.890000104904175,3.965696096420288,
9.198,3.5799999237060547,3.4763898849487305,3.75,3.814708709716797,
9.208,3.3499999046325684,3.3879170417785645,3.759999990463257,3.7764124870300293,
9.218,3.690000057220459,3.5993752479553223,3.380000114440918,3.4989237785339355,
9.228,3.509999990463257,3.5368125438690186,3.059999942779541,3.1916770935058594,
9.238,2.7899999618530273,3.0140438079833984,3.1700000762939453,3.1765031814575195,
9.248,3.3399999141693115,3.242213249206543,3.2200000286102295,3.2069509029388428,
9.258,3.240000009536743,3.240664005279541,3.940000057220459,3.7200851440429688,
9.268,3.8399999141693115,3.6601991653442383,3.4600000381469727,3.5380256175994873,
9.278,3.2699999809265137,3.3870596885681152,3.1700000762939453,3.280407667160034,
9.288,3.6700000762939453,3.585117816925049,2.619999885559082,2.818122386932373,
9.298,3.809999942779541,3.742535352706909,2.4100000858306885,2.5324366092681885,
9.308,3.9000000953674316,3.8527605533599854,3.1500000953674316,2.964730978012085,
9.318,4.429999828338623,4.256828308105469,2.7899999618530273,2.842419385910034,
9.328,3.819999933242798,3.9510486125946045,2.6500000953674316,2.707725763320923,
9.338,4.230000019073486,4.14631462097168,2.059999942779541,2.2543177604675293,
9.348,4.510000228881836,4.400894641876221,2.259999990463257,2.2582952976226807,
9.358,4.139999866485596,4.218268394470215,3.0199999809265137,2.7914886474609375,
9.368,4.329999923706055,4.296480655670166,2.549999952316284,2.6224465370178223,
9.378,4.829999923706055,4.6699442863464355,1.6299999952316284,1.9277340173721313,
9.388,3.9700000286102295,4.179983139038086,2.2699999809265137,2.1673202514648438,
9.398,4.099999904632568,4.123994827270508,2.190000057220459,2.1831960678100586,
